Time,Jitter
1,0
2,0.633013889
3,1.24865191
4,1.824756999
5,2.365973575
6,2.87443356
7,3.348795351
8,3.794697031
9,4.2138618
10,4.606009326
11,4.970335132
12,5.31483502
13,5.63617172
14,5.85388321
15,5.944348842
16,6.028972873
17,6.107863457
18,6.182705325
19,6.252807075
20,6.317583022
21,6.325629916
22,6.38467388
23,6.441520651
24,6.495008944
25,71.43430005
26,67.42248269
27,63.66484835
28,60.12856616
29,56.79911411
30,53.70249587
31,50.74229821
32,47.94948791
33,45.4038463
34,43.02131424
35,40.78675293
36,38.68678226
37,36.72437921
38,34.88475134
39,33.15996827
40,209.5461508
41,196.6182942
42,184.8789424
43,173.8754183
44,163.5604963
45,153.8898125
46,144.8240534
47,136.3242723
48,128.3552969
49,120.8793756
50,113.8765188
51,107.3107711
52,101.155952
53,95.38236476
54,89.97193919
55,84.90060966
56,80.14585628
57,75.68909442
58,71.53708158
59,67.80580565
60,64.30785946
61,61.02759047
62,57.95315773
63,55.07081454
64,361.6204095
65,339.6915991
66,319.1370964
67,299.8670001
68,281.8019723
69,264.8647518
70,248.9870521
71,234.1018335
72,220.217587
73,207.212217
74,195.0181895
75,183.5878513
76,172.8714648
77,162.8264218
78,153.4088191
79,144.5791845
80,136.3020341
81,128.5420806
82,121.2664297
83,114.4463265
84,108.0419102
85,102.046652
86,96.42759733
87,91.15891416
88,86.24824591
89,81.68154999
90,77.39939061
91,73.38556065
92,69.62203255
93,66.09359302
94,62.7861879
95,59.6857456
96,56.2172615
97,53.5244396
98,51.00285657
99,48.63767803
100,46.4218301
101,44.34472266
102,42.3965525
103,373.9549902
104,350.8983589
105,329.22601
106,309.0750233
107,289.9803274
108,272.2192583
109,255.4784852
110,242.5204619
111,227.8529955
112,214.1042527
113,201.2152439
114,189.1315481
115,177.8031458
116,167.1830186
117,156.860198
118,147.5468106
119,138.544503
120,129.9769646
121,121.9982099
122,114.8639537
123,107.8618872
124,101.2516998
125,95.38634354
126,89.53862762
127,84.08151895
128,79.06241707
129,74.28507156
130,70.13269903
131,65.8170859
132,61.83658053
133,58.2710998
134,55.11985051
135,51.6806168
136,48.92782825
137,46.04851954
138,43.53604957
139,41.21799091
140,38.93055398
141,36.9385263
142,34.89986841
143,32.99030719
144,31.19759354
145,29.69136895
146,28.10827644
147,26.76713417
148,25.43343134
149,223.7039947
150,210.5733908
151,198.2653803
152,186.7238704
153,175.9093993
154,165.7707633
155,156.265667
156,147.3553961
157,139.0013227
158,131.169254
159,123.826627
160,116.9237961
161,110.4703227
162,104.420754
163,98.75097768
164,93.34219435
165,88.23604331
166,83.44788783
167,78.95962401
168,74.75263362
169,70.79512874
170,67.09553736
171,63.62961488
172,60.37929868
173,57.33257168
174,54.47708456
175,51.79867649
176,49.28830088
177,46.93526819
178,44.72816115
179,42.65756774
180,40.71858087
181,38.36164179
182,36.68583084
183,35.12045253
184,33.67268119
185,32.53667334
186,31.47304097
187,30.47626064
188,197.7868555
189,185.9537325
190,174.6181104
191,163.868909
192,153.7643592
193,144.9323506
194,136.2478009
195,146.9762786
196,138.7355459
197,131.031366
198,123.8113084
199,117.0430113
200,110.6746704
201,104.7268507
202,99.15133223
203,93.92459619
204,89.02446865
205,84.43047408
206,80.12423612
207,75.59496442
208,71.3485847
209,67.36766621
210,63.56168707
211,60.06532468
212,56.78948495
213,53.71939214
214,50.83736068
215,48.1385187
216,45.60904878
217,43.23691379
218,41.01291223
219,38.92766771
220,36.97155654
221,35.13926481
222,33.42167881
223,31.81207389
224,30.30224983
225,28.88691477
226,27.08529509
227,25.86864471
228,24.50961136
229,23.05463565
230,22.09058898
231,20.94312161
232,19.76592651
233,18.5839936
234,371.1857996
235,348.6756315
236,327.5756615
237,307.7862521
238,289.2411808
239,271.8557389
240,255.5566997
241,240.2769824
242,225.938421
243,212.5065266
244,199.9168756
245,188.1141403
246,177.0490135
247,166.6755821
248,156.9504902
249,147.8330915
250,139.2866622
251,131.3265305
252,123.8411015
253,116.8450118
254,110.2879278
255,104.1404739
256,98.37736098
257,92.97456759
258,87.90932378
259,83.16072021
260,78.70896686
261,74.5353856
262,70.62259067
263,66.95377597
264,63.51495664
265,60.28975102
266,56.75974575
267,53.85634497
268,50.90014285
269,48.11257143
270,45.51409821
271,43.08003652
272,40.79765924
273,366.758993
274,344.347181
275,323.0073085
276,302.9747962
277,284.3781839
278,266.7007141
279,250.1187111
280,234.5567778
281,220.7373125
282,207.3700222
283,195.1582499
284,183.5036302
285,172.0508547
286,161.5015929
287,151.505035
288,142.134887
289,133.3491302
290,125.7028304
291,117.9824451
292,110.821584
293,103.9902767
294,97.49276631
295,91.44844064
296,85.98782976
297,81.16067374
298,76.20479829
299,72.04676923
300,68.24701282
301,64.10230369
302,60.27745137
303,57.1607565
304,54.33037588
305,51.40374822
306,48.32443063
307,45.37850093
308,42.63032379
309,40.07228272
310,37.65575811
311,244.386051
312,229.948527
313,216.4152163
314,203.7285569
315,191.8342443
316,180.6842707
317,170.2304135
318,160.4305544
319,151.2426169
320,142.629495
321,134.5538183
322,126.9830518
323,119.8861528
324,113.2321154
325,107.0345527
326,101.3259765
327,95.97361682
328,90.95653661
329,86.2529614
330,81.84342215
331,77.70903465
332,73.82999082
333,70.19694973
334,66.7910987
335,63.57585642
336,60.58251123
337,57.77756261
338,54.97355523
339,52.2135483
340,49.62686125
341,47.18034215
342,44.90348049
343,42.28272823
344,40.31259244
345,38.46896514
346,36.74112704
347,35.12045938
348,33.60177789
349,32.17801399
350,207.603652
351,195.4006043
352,183.2801846
353,172.3352078
354,161.6562573
355,151.5579912
356,142.7063043
357,133.7914727
358,125.4746932
359,117.7401499
360,110.469953
361,103.5955809
362,97.12716964
363,91.08365903
364,85.47461784
365,80.16907923
366,75.18963678
367,70.52322198
368,66.1282706
369,62.02687869
370,58.18288627
371,54.58133088
372,51.2213727
373,48.13943969
374,45.21039137
375,42.39003358
376,40.38526759
377,37.8836467
378,35.52889795
379,33.34041821
380,31.27247541
381,29.33136236
382,27.5069161
383,26.47344218
384,24.84449788
385,23.93576537
386,22.4493217
387,21.75832243
388,21.04241339
389,19.79711672
390,18.57063026
391,17.41891725
392,16.34019326
393,113.0594381
394,106.5279385
395,100.4078451
396,238.5571465
397,224.1825401
398,210.7094091
399,198.0785363
400,186.2368431
401,175.1347487
402,164.7272922
403,154.9697392
404,145.8222833
405,137.2460364
406,128.9919994
407,121.4632772
408,114.4090377
409,107.7948756
410,101.5951542
411,95.78379736
412,90.33565031
413,85.22819994
414,80.43914578
415,75.94953944
416,71.93238767
417,68.34398844
418,64.98318361
419,61.83267908
420,58.87933108
421,56.11044233
422,53.51378969
423,51.07968478
424,48.79733642
425,46.65869734
426,44.64934126
427,42.76988937
428,40.75815323
429,39.1129631
430,37.57909735
431,36.14059126
432,104.6666724
433,98.41663034
434,92.461209
435,153.5690154
436,144.3733964
437,135.6666285
438,127.4684295
439,119.782743
440,112.5776618
441,105.8228357
442,99.48974877
443,93.55285475
444,87.9870166
445,82.76935584
446,77.87779888
447,73.29222117
448,68.99248513
449,64.96204508
450,61.18319504
451,57.64058563
452,54.31951431
453,51.20600994
454,48.2869746
455,45.55025396
456,42.98445337
457,40.57914031
458,38.32510376
459,36.21106256
460,34.22933642
461,32.37153068
462,30.62977529
463,28.99675461
464,27.46598522
465,26.02032642
466,24.6745838
467,23.34083204
468,22.16012031
469,21.05671001
470,20.02213092
471,19.05202551
472,18.12686419
473,17.27477546
474,217.2907756
475,204.5573521
476,192.1664412
477,180.3641984
478,169.3432276
479,158.9663731
480,149.4927457
481,417.5774143
482,392.3414301
483,368.6837504
484,346.5049327
485,325.7120966
486,306.2198198
487,287.9456852
488,270.8128646
489,254.7515397
490,239.5428463
491,225.0839392
492,211.5294708
493,198.8215872
494,186.9078213
495,175.7387283
496,165.2676411
497,155.4509344
498,146.2478343
499,137.6207475
500,129.5319716
501,121.9486817
502,114.8394099
503,108.1744676
504,101.9267787
505,96.06887585
506,90.57702944
507,85.42836094
508,80.60160921
509,76.07716141
510,71.83479716
511,67.85770567
512,64.1289949
513,60.15072438
514,56.92562355
515,54.0444318
516,51.34268259
517,48.81061215
518,46.43685862
519,44.21146468
520,296.317644
521,278.1038259
522,260.9033021
523,244.683561
524,229.5096857
525,215.2771081
526,201.9223235
527,189.8445255
528,178.1269649
529,167.0911199
530,156.7508971
531,433.2834938
532,406.7450532
533,381.7356332
534,358.2672673
535,336.2656117
536,315.6392471
537,296.3020927
538,278.1736356
539,261.1771444
540,245.243809
541,230.3064946
542,216.3026998
543,203.1741421
544,190.8662444
545,179.3274027
546,168.5096762
547,158.368245
548,148.8604658
549,139.9469228
550,131.5904762
551,123.7563076
552,116.4118995
553,109.5264544
554,103.0713496
555,97.01925134
556,91.34553424
557,86.02642446
558,81.04019655
559,76.36542037
560,71.98288021
561,67.87431131
562,64.02246546
563,60.31213776
564,56.93018471
565,54.04626344
566,68.89739975
567,65.26440949
568,61.85178668
569,58.66220973
570,324.5400994
571,304.6551696
572,286.2503604
573,268.9957198
574,252.8196262
575,237.6552884
576,223.4380274
577,210.109852
578,197.5191043
579,185.6993687
580,174.6179289
581,164.2293292
582,154.4900795
583,145.3593453
584,136.7994696
585,128.7745861
586,121.2511953
587,114.1981414
588,107.5857159
589,101.3872614
590,95.57488399
591,90.12723151
592,85.01917538
593,80.23043525
594,75.74105388
595,71.53219635
596,67.58614241
597,63.88709184
